Page,Date,Focal_tree,Site,Focal_sp,Plot,Tree,Transect_d,Transect_m,Family,Genus,Species,Individuals,Height_cm,Width_cm
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,7,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,8,Laxmaniaceae,Lomandara,longifolia,1,26,9
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,9,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,E,10,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,1,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,2,,,,,,
1,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,3,Asphodelaceae,Thelionema,caespitosum,1,10,19
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,4,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,5,Laxmaniaceae,Lomandra,longifolia,2,46,6
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,6,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,7,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,8,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,9,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,S,10,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,1,Dennstaedtiaceae,Pteridium,esculentum,1,86,79
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,2,Laxmaniaceae,Lomandra,longifolia,1,23,2
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,3,Laxmaniaceae,Lomandra,longifolia,1,31,2.5
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,5,Laxmaniaceae,Lomandra,longifolia,1,36,2
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,6,Laxmaniaceae,Lomandra,longifolia,1,23,0.5
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,7,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,8,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,9,,,,,,
2,14/02/2022,EPFVIMC4,EPF,VIM,C,4,W,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,6,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,7,,,,,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,9,,,,,,
2,14/02/2022,EPFVIMC1,EPF,VIM,C,1,N,10,,,,,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,3,Laxmaniaceae,Lomandra,longifolia,1,34,3
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,6,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,7,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,8,Laxmaniaceae,Lomandra,longifolia,1,30,3
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,E,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,6,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,7,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,S,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,6,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,7,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,14/02/2022,EPFVIMC1,EPF,VIM,C,1,W,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,1,Laxmaniaceae,Lomandra,longifolia,2,80,6
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,4,Laxmaniaceae,Lomandra,longifolia,1,89,7
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,6,,,,,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,7,,,,,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,8,Asphodelaceae,,,1,693,0.2
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,N,10,Laxmaniaceae,Lomandra,longifolia,1,52,3
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,1,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,2,Asphodelaceae,Thelionema,caespitosum,2,20,0.1
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,3,Asphodelaceae,Thelionema,caespitosum,3,280,0.2
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,4,Asphodelaceae,Thelionema,caespitosum,1,392,0.2
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,5,Asphodelaceae,Thelionema,caespitosum,1,40,75
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,6,Asphodelaceae,Thelionema,caespitosum,1,375,0.7
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,7,Asphodelaceae,Thelionema,caespitosum,3,255,0.5
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,8,Asphodelaceae,Thelionema,caespitosum,1,1225,0.5
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,9,Poaceae,Poa,sp. (tiny),1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,E,10,Asphodelaceae,Thelionema,caespitosum,1,1600,0.2
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,1,Laxmaniaceae,Lomandra,longifolia,1,60,6
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,1,Asphodelaceae,Thelionema,caespitosum,1,17,2
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,3,Asphodelaceae,Thelionema,caespitosum,2,30,10
2,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,4,Laxmaniaceae,Lomandra,longifolia,3,69,10
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,6,Laxmaniaceae,Lomandra,longifolia,1,46,6
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,6,Asphodelaceae,Thelionema,caespitosum,1,20,35
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,7,Asphodelaceae,Thelionema,caespitosum,1,15,30
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,7,Poaceae,Poa,sp. (tiny),1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,8,Laxmaniaceae,Lomandra,longifolia,1,28,3
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,9,Laxmaniaceae,Lomandra,longifolia,1,47,3
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,9,Asphodelaceae,Thelionema,caespitosum,1,30,30
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,S,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,1,Laxmaniaceae,Lomandra,longifolia,4,64,8
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,3,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,4,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,6,Asphodelaceae,Thelionema,caespitosum,1,22,31
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,7,Laxmaniaceae,Lomandra,longifolia,1,65,12
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,8,Asphodelaceae,Thelionema,caespitosum,1,22,15
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,9,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB1,EPF,AMYG,B,1,W,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,1,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,2,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,3,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,4,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,5,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,6,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,7,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,8,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,9,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,N,10,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,1,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,2,Asphodelaceae,Thelionema,caespitosum,1,37,30
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,2,Fabaceae - Faboideae,Platylobium,triangulare,1,12,2
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,3,Laxmaniaceae,Lomandra,longifolia,1,37,1
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,4,Ericaceae,Leucopogon,virgatus,1,5,3
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,5,Laxmaniaceae,Lomandra,longifolia,1,37,2
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,6,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,7,Laxmaniaceae,Lomandra,longifolia,3,29,2
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,8,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,9,Asphodelaceae,Thelionema,caespitosum,1,27,25
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,9,Ericaceae,Leucopogon,virgatus,1,11,8
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,9,Laxmaniaceae,Lomandra,longifolia,3,32,3
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,E,10,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,1,Laxmaniaceae,Lomandra,longifolia,1,20,2
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,2,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,3,Laxmaniaceae,Lomandra,longifolia,3,20,1
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,4,Poaceae,Poa,sp. (tiny),1,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,5,Laxmaniaceae,Lomandra,longifolia,1,52,2
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,6,Ericaceae,Leucopogon,virgatus,1,5,7
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,7,Asphodelaceae,,,1,12,9
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,8,,,,,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,9,Poaceae,Poa,sp. (tiny),1,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,S,10,Laxmaniaceae,Lomandra,longifolia,2,52,15
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,1,Ericaceae,Leucopogon,virgatus,1,5,7
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,2,Asphodelaceae,Thelionema,caespitosum,1,17,25
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,3,Ericaceae,Leucopogon,virgatus,1,5,12
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,4,Asphodelaceae,Thelionema,caespitosum,1,10,1
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,5,Laxmaniaceae,Lomandra,longifolia,5,52,5
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,6,Laxmaniaceae,Lomandra,longifolia,1,20,1
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,7,Ericaceae,Leucopogon,virgatus,1,6,10
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,8,Ericaceae,Leucopogon,virgatus,1,7,15
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,9,Asphodelaceae,Thelionema,caespitosum,1,30,30
3,15/02/2022,EPFAMYGB3,EPF,AMYG,B,3,W,10,Asphodelaceae,Thelionema,caespitosum,1,32,28
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,1,,,,,,
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,2,Asphodelaceae,Thelionema,caespitosum,1,3,22
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,3,Asphodelaceae,Thelionema,caespitosum,1,26,59
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,4,Asphodelaceae,Thelionema,caespitosum,1,14,40
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,5,Asphodelaceae,Thelionema,caespitosum,1,33,27
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,6,Laxmaniaceae,Lomandra,longifolia,1,40,1
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,7,Laxmaniaceae,Lomandra,longifolia,1,36,1
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,8,Laxmaniaceae,Lomandra,longifolia,1,22,3
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,9,Laxmaniaceae,Lomandra,longifolia,3,17,15
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,N,10,Laxmaniaceae,Lomandra,longifolia,4,53,4
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,1,Laxmaniaceae,Lomandra,longifolia,1,62,8
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,2,Asphodelaceae,Thelionema,caespitosum,1,29,17
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,3,Asphodelaceae,Thelionema,caespitosum,1,29,58
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,4,,,,,,
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,5,Asphodelaceae,Thelionema,caespitosum,1,28,20
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,6,Laxmaniaceae,Lomandra,longifolia,1,24,1.5
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,7,Asphodelaceae,Thelionema,caespitosum,1,24,31
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,8,Asphodelaceae,Thelionema,caespitosum,1,44,38
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,8,Laxmaniaceae,Lomandra,longifolia,1,10,1
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,9,Ericaceae,Leucopogon,virgatus,1,4,4
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,9,Laxmaniaceae,Lomandra,longifolia,1,17,2
4,15/02/2022,EPFVIMB2,EPF,VIM,B,2,E,10,Laxmaniaceae,Lomandra,longifolia,2,15,1
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,1,Asphodelaceae,Thelionema,caespitosum,1,24,10
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,2,Asphodelaceae,Thelionema,caespitosum,1,30,32
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,3,Laxmaniaceae,Lomandra,longifolia,2,24,7
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,4,Poaceae,Poa,sp. (tiny),1,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,5,Laxmaniaceae,Lomandra,longifolia,2,58,3
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,5,Asphodelaceae,Thelionema,caespitosum,1,32,24
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,6,Laxmaniaceae,Lomandra,longifolia,3,38,4
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,7,,,,,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,8,Laxmaniaceae,Lomandra,longifolia,4,27,3
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,9,Ericaceae,Leucopogon,virgatus,1,4,3
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,9,Laxmaniaceae,Lomandra,longifolia,1,8,0.5
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,S,10,Asphodelaceae,Thelionema,caespitosum,1,43,14
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,1,,,,,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,2,Laxmaniaceae,Lomandra,longifolia,3,90,7
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,3,Asphodelaceae,Thelionema,caespitosum,1,30,58
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,4,Poaceae,Poa,sp. (tiny),1,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,5,Laxmaniaceae,Lomandra,longifolia,2,29,5
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,6,Laxmaniaceae,Lomandra,longifolia,2,60,3
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,7,Asphodelaceae,Thelionema,caespitosum,2,40,2
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,8,Poaceae,Poa,sp. (tiny),1,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,9,,,,,,
5,15/02/2022,EPFVIMB2,EPF,VIM,B,2,W,10,Laxmaniaceae,Lomandra,longifolia,3,23,4
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,1,Poaceae,Poa,,1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,2,Laxmaniaceae,Lomandra,longifolia,4,70,5
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,3,Asphodelaceae,Thelionema,caespitosum,1,6,10
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,4,Asphodelaceae,Thelionema,caespitosum,1,25,3
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,5,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,6,Poaceae,Poa,sp. (tiny),1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,7,Poaceae,Poa,sp. (tiny),1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,8,Poaceae,Poa,sp. (tiny),1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,8,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,9,Dilleniaceae,Hibbertia,riparia,1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,N,10,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,E,1,Asphodelaceae,Thelionema,caespitosum,1,9,7
6,15/02/2022,EPFOVAB1,EPF,OVA,B,1,E,2,Fabaceae - Faboideae,Pultenaea,penduculata,1,,
